asset,category,section,native_w,native_h,aspect_ratio,file_kb,mode,has_alpha,alpha_bbox,content_ratio,desktop_display,mobile_display,notes
53245.jpg,REFERENCE,LEGACY ICON SET,1536,1536,1.0,102.3,RGB,False,,,reference only,reference only,reference image; not a primary production asset
53251.jpg,REFERENCE,LEGACY ICON SET,1536,1536,1.0,80.1,RGB,False,,,reference only,reference only,reference image; not a primary production asset
53255.jpg,REFERENCE,LEGACY ICON SET,1536,1536,1.0,96.1,RGB,False,,,reference only,reference only,reference image; not a primary production asset
53282.jpg,REFERENCE,LEGACY ICON SET,1536,1536,1.0,168.5,RGB,False,,,reference only,reference only,reference image; not a primary production asset
BG-05-COMMUNITY-HANGOUT.webp,BACKGROUND,COMMUNITY,1967,799,2.462,449.7,RGB,False,,,width:100%; min-height: section-driven; object-fit:cover,width:100%; min-height: section-driven; object-fit:cover,full-width background
BG-06-TOKEN-DISPLAY.webp,BACKGROUND,TOKEN,1774,887,2.0,273.7,RGB,False,,,width:100%; min-height: section-driven; object-fit:cover,width:100%; min-height: section-driven; object-fit:cover,full-width background
BG-07-BUILD-LOG.webp,BACKGROUND,BUILD LOG,1921,819,2.346,308.4,RGB,False,,,width:100%; min-height: section-driven; object-fit:cover,width:100%; min-height: section-driven; object-fit:cover,full-width background
BG-08-CONTROL-BOARD.webp,BACKGROUND,CONTROL BOARD,1897,829,2.288,216.1,RGB,False,,,width:100%; min-height: section-driven; object-fit:cover,width:100%; min-height: section-driven; object-fit:cover,full-width background
BG-09-MEET-THE-BUILDERS.webp,BACKGROUND,MEET THE BUILDERS,1907,825,2.312,379.8,RGB,False,,,width:100%; min-height: section-driven; object-fit:cover,width:100%; min-height: section-driven; object-fit:cover,full-width background
CHAR-02-BRUNO.webp,CHARACTER,HERO / HOME BASE / MEET BUILDERS,1024,1536,0.667,1190.7,RGBA,True,"0,0,1010,1504",0.672,height: 560–620px; width:auto,height: 360–430px; width:auto,transparent character; standardize by visual height
CHAR-03-STAKEY.webp,CHARACTER,HERO / HOME BASE / MEET BUILDERS,1024,1536,0.667,1282.9,RGBA,True,"0,22,965,1519",0.645,height: 560–620px; width:auto,height: 360–430px; width:auto,transparent character; standardize by visual height
